,function_value,cost,info,colsample_bylevel,colsample_bytree,eta,max_depth,min_child_weight,reg_alpha,reg_lambda,subsample_per_it
770,0.2277227722772277,0.3720376491546631,"{'train_loss': 0.224390243902439, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.7939028291091123,0.6573017972042924,0.008892184285193418,6,29.728063825541756,1.9834576527251837,0.06935023612211264,0.37780028652229314
771,0.07920792079207917,0.37827348709106445,"{'train_loss': 0.08013937282229966, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.698806572129121,0.44933209479747516,0.002253413760395759,15,2.291044152744973,7.734720739155234,154.95831538284406,0.5370148840524113
772,0.4837340876944838,0.3430929183959961,"{'train_loss': 0.4843205574912892, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.7800699920905836,0.7217500932089452,0.22119345973854665,2,34.35238984359006,118.3327007774455,0.0011936651062277714,0.7511611786739664
773,0.09193776520509189,0.1517009735107422,"{'train_loss': 0.09128919860627183, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.41241804028731543,0.11887621272086721,0.04265436116846664,3,7.160404210327297,46.449026937586574,38.18295565685427,0.9454082932071144
774,0.09335219236209336,0.4309537410736084,"{'train_loss': 0.09825783972125435, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.6512929268556064,0.9393319816352418,0.004719251633076094,4,4.691382244862361,10.947650128135109,93.52952993981408,0.2698495807892476
775,0.27722772277227725,0.26408958435058594,"{'train_loss': 0.25087108013937287, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.18799635471604464,0.8491504421469936,0.004619743261384194,11,44.155581166518836,0.0015185463648458753,12.277465605482243,0.5769726720405672
776,0.26308345120226306,0.23851799964904785,"{'train_loss': 0.2550522648083624, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.32860176375402494,0.6624453030692244,0.005937132292104836,11,46.31552453778994,0.001101660527400955,265.88946937659045,0.7674691689283496
777,0.4837340876944838,0.1767575740814209,"{'train_loss': 0.4843205574912892, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.18087857391859458,0.38504285697511453,0.008308060993961284,12,99.94637656176069,0.14070572158383385,0.016005173550713382,0.581026801148419
778,0.02545968882602545,0.3634459972381592,"{'train_loss': 0.02857142857142858, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.41455085276312975,0.42240106172459996,0.01434857541715452,6,2.680119013444111,0.0014932551615965013,0.1284237095664544,0.8067311053632685
779,0.03536067892503536,0.29424428939819336,"{'train_loss': 0.04529616724738672, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.24900456048594283,0.48733238293589276,0.007680890638125837,13,13.25670490679537,1.2807146441242085,0.02340255813678469,0.7706550646713018
780,0.08628005657708626,0.34589695930480957,"{'train_loss': 0.08501742160278747, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.4128527741880644,0.9359309323067326,0.10848435799773667,11,42.36665171984589,0.0010258802246448438,119.29310560853705,0.7917559894970966
781,0.03960396039603964,0.6877179145812988,"{'train_loss': 0.04181184668989546, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.975470119012939,0.8649570253689216,0.0012453234267680883,11,12.247726622889274,0.7655709482555308,30.44646253901004,0.7943961373128332
782,0.06082036775106081,0.24225640296936035,"{'train_loss': 0.06341463414634141, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.32711613256381095,0.4831446107243938,0.009493153650728066,13,3.0345975068373647,0.18328647661255276,166.6938015956641,0.8957274416644461
783,0.4837340876944838,0.26310062408447266,"{'train_loss': 0.4843205574912892, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.9826660355251463,0.5589733132953854,0.1711008377319954,10,125.10815645726066,567.8164200161576,0.12094792963523522,0.5089266996766896
784,0.4073550212164073,0.34258556365966797,"{'train_loss': 0.43484320557491285, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.6399430645974238,0.8766498236565285,0.6727208372015075,7,74.81413182486898,0.0021182241814829373,0.008252318742712568,0.5137598885977139
785,0.1937765205091938,0.21004915237426758,"{'train_loss': 0.19512195121951215, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.3813401082099719,0.9497717894345672,0.25478027632308753,1,16.449859537253882,0.002410953372572944,659.6944516736294,0.23208832774519184
786,0.4837340876944838,0.25458407402038574,"{'train_loss': 0.4843205574912892, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.8589096540927607,0.6427929083095635,0.005183930514271331,9,13.607542603977308,126.70511401934255,0.4925943481949824,0.31207600943400166
787,0.4837340876944838,0.24643492698669434,"{'train_loss': 0.4843205574912892, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.6233908719748881,0.7510351168888562,0.004907332305761393,9,58.88518587621585,59.92796854219975,24.21867573409766,0.3427212067179546
788,0.4837340876944838,0.18068337440490723,"{'train_loss': 0.4843205574912892, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.25951274932953095,0.3581086572968382,0.0036531784596918137,10,84.59132821242139,420.78020994276625,8.475740095715292,0.7637207359964793
789,0.5162659123055162,0.24393916130065918,"{'train_loss': 0.5156794425087108, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.7949271211971187,0.9188480358953182,0.4428761920353264,5,53.338209453163245,0.0028888939748279016,0.007074954806605649,0.24131794757668318
790,0.057991513437057995,0.40518617630004883,"{'train_loss': 0.0613240418118467, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.4386091236468214,0.838384529355293,0.005078284274468849,9,8.16621996727295,5.285337098774193,118.07443839300954,0.7508360205982112
791,0.23903818953323908,0.20281744003295898,"{'train_loss': 0.23902439024390243, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.363936055657137,0.5565353224125151,0.18709024389540993,3,63.529815329248684,1.2210290086046642,759.68943884238,0.6363461438969259
792,0.05940594059405946,0.6173722743988037,"{'train_loss': 0.06271777003484325, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.33697416715983014,0.868950937519022,0.00596400554396454,10,2.9881184176399294,0.08428857468171773,641.3514422246761,0.9372668942802601
793,0.09335219236209336,0.35968637466430664,"{'train_loss': 0.09825783972125435, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.7003951868570081,0.851373162625929,0.0012282487056370724,2,13.771487275698258,4.646772492850353,0.10352708015921783,0.7527482032323647
794,0.4837340876944838,0.13843607902526855,"{'train_loss': 0.4843205574912892, 'fidelity': {'dataset_fraction': 1.0, 'n_estimators': 100}}",0.2759636226671643,0.8103272430400804,0.1576150278555303,14,4.614108791627607,328.91152935396366,366.8326734257677,0.7289892685139907
