,dataset,algorithm,random_state,process_time,training time (s),target_noise,feature_noise,model_size,mse_train,mae_train,r2_train,mse_test,mae_test,r2_test
573,1193_BNG_lowbwt,MAPMX-GP,21575,1471.6877079839999,1471.751666545868,0.0,0.0,296,211941.26687802,374.1599699645773,0.595673302375384,212211.52995323765,371.80640388047027,0.5880088190864105
574,1193_BNG_lowbwt,MAPMX-GP,22118,2224.0039892600003,2223.909102201462,0.0,0.0,222,208182.3946294016,367.346806207855,0.6069719134393495,218307.85569201704,375.6986314769734,0.5876272041581494
575,1193_BNG_lowbwt,MAPMX-GP,23654,1862.602227659,1862.6494576931,0.0,0.0,299,213733.33228757058,373.7388604802481,0.5969193875762042,216423.654792009,376.3879990492415,0.5904201982757954
576,1193_BNG_lowbwt,MAPMX-GP,29802,2028.681488743,2028.8614590168,0.0,0.0,220,211126.2503524863,369.79292396024925,0.5984309121767974,215201.0449756528,374.2968149582674,0.5923358964365166
577,1193_BNG_lowbwt,MAPMX-GP,5390,2020.1876964130001,2020.358457326889,0.0,0.0,187,211489.97999515606,369.4559600622595,0.5959353317645144,209791.14695800006,368.81226536942887,0.5997923452684573
578,1193_BNG_lowbwt,MAPMX-GP,6265,2122.330852854,2122.356920480728,0.0,0.0,258,209611.29770443286,369.763341823528,0.6014403462346858,215901.99544280075,375.0809390006318,0.5855191543790406
579,1193_BNG_lowbwt,MAPMX-GP,860,1861.76455088,1867.609815120697,0.0,0.0,191,215583.25382379905,374.5527925569842,0.5989409081888534,209159.82172268283,368.14081945542637,0.5973932773539403
650,1196_BNG_pharynx,MAPMX-GP,11284,2112.0414383929997,2112.081531524658,0.0,0.0,200,89729.30388048613,224.99529506110716,0.48803362790450466,89810.53182129205,224.1182266936757,0.48407982795832283
651,1196_BNG_pharynx,MAPMX-GP,11964,2150.4797830039997,2150.653340101242,0.0,0.0,204,88387.89628219198,222.31757582668496,0.48338234148522163,90369.89942750754,223.81833144944275,0.4835810369533625
652,1196_BNG_pharynx,MAPMX-GP,15795,2311.422022155,2311.510954618454,0.0,0.0,187,90301.40908208882,225.14690228555173,0.4880420451111469,90379.81872927092,224.73440632456612,0.4836761497472363
653,1196_BNG_pharynx,MAPMX-GP,21575,2112.611462516,2119.4705123901367,0.0,0.0,180,89874.61055318761,224.09918812651975,0.48040252737738665,89991.42594444322,224.49438625881936,0.4834071917054601
654,1196_BNG_pharynx,MAPMX-GP,22118,2250.584845804,2250.75626540184,0.0,0.0,239,89013.31289435187,223.84258425470455,0.4872401692368771,90495.76831607975,224.88814219096065,0.4834064606610191
655,1196_BNG_pharynx,MAPMX-GP,23654,2335.863711199,2345.366166114807,0.0,0.0,177,86483.7945410213,221.81938186627664,0.496498669387471,90922.04844221221,225.65383732021874,0.4767637981819606
656,1196_BNG_pharynx,MAPMX-GP,29802,1911.3422933890001,1911.4346959590912,0.0,0.0,181,88701.21848677826,221.94188194885612,0.4831278765746291,90873.93886339566,224.18134872524877,0.47917709347223203
657,1196_BNG_pharynx,MAPMX-GP,5390,2080.3626700769996,2080.440629005432,0.0,0.0,324,86870.12204903681,219.17243663400734,0.5045202508302455,91171.16916658348,224.22338002724754,0.4799955742558655
658,1196_BNG_pharynx,MAPMX-GP,6265,1626.227320211,1626.359590291977,0.0,0.0,239,91492.42041637163,227.0565631593304,0.4616419748828957,90778.72696280999,226.54309476769964,0.4799767877916328
659,1196_BNG_pharynx,MAPMX-GP,860,2327.0104085460002,2327.135855436325,0.0,0.0,259,89209.95819619611,223.4279239493918,0.48542238398600646,90226.74642829342,224.92401278622677,0.4834794475220533
730,1199_BNG_echoMonths,MAPMX-GP,11284,2086.133082634,2089.0370240211487,0.0,0.0,260,136.69223340833352,9.166067633165756,0.44611818526573854,136.84174989597517,9.117435675719522,0.44879179461089314
731,1199_BNG_echoMonths,MAPMX-GP,11964,1499.6474338140001,1499.6187574863434,0.0,0.0,228,135.0504865682272,9.137821492303035,0.45232033119154624,139.04633698341593,9.176390982173233,0.4450744145748654
732,1199_BNG_echoMonths,MAPMX-GP,15795,2171.157760781,2170.980931997299,0.0,0.0,163,137.2993196304718,9.183339137628547,0.4519506124039556,137.53283459614056,9.076533226570117,0.44687906485469264
733,1199_BNG_echoMonths,MAPMX-GP,21575,2073.78222356,2077.64106297493,0.0,0.0,234,134.94504856066857,9.09217851990113,0.46111572851823457,138.96938749353788,9.26469854709563,0.4477424698206329
734,1199_BNG_echoMonths,MAPMX-GP,22118,2175.730298631,2175.654490709305,0.0,0.0,256,137.88478607244332,9.222975205971032,0.44292921774690186,140.7496522978569,9.277060035676012,0.4434733245829605
735,1199_BNG_echoMonths,MAPMX-GP,23654,1620.802781032,1620.8334476947784,0.0,0.0,106,135.57019379604023,9.0850578997844,0.45671041923815936,141.89038894362173,9.290534503689788,0.44860484211994944
736,1199_BNG_echoMonths,MAPMX-GP,29802,2165.5655187360003,2173.3443648815155,0.0,0.0,161,138.32371610300535,9.163680140849118,0.4481969458222891,136.75108190090828,9.076110377846563,0.4490680698012096
737,1199_BNG_echoMonths,MAPMX-GP,5390,2142.1129367040003,2141.91841506958,0.0,0.0,230,137.53576132103774,9.146387034409482,0.4503024766816873,137.03919741607857,9.107190230720182,0.4421037872078124
738,1199_BNG_echoMonths,MAPMX-GP,6265,2190.602571741,2190.515764951706,0.0,0.0,302,139.34212740392056,9.275957779239679,0.4513010904504622,135.7939428198534,9.1327594083856,0.44968408046390773
739,1199_BNG_echoMonths,MAPMX-GP,860,2123.0986764120003,2123.136086463928,0.0,0.0,298,135.16912815588722,9.062981752681331,0.458051445758081,140.49266327586923,9.313162999660506,0.44800097384969073
810,1201_BNG_breastTumor,MAPMX-GP,11284,1978.24184879,1978.3948051929474,0.0,0.0,119,91.01635861039374,7.393243850698274,0.12196930686644902,95.05780184030405,7.616584756726441,0.1142426885928618
811,1201_BNG_breastTumor,MAPMX-GP,11964,1985.837067471,1987.2885310649872,0.0,0.0,185,92.77980414754488,7.556716471020815,0.1344438331806116,93.91058707077016,7.578725055880169,0.1215350450066427
812,1201_BNG_breastTumor,MAPMX-GP,15795,1990.318563611,1990.423407793045,0.0,0.0,153,95.93659989897841,7.64124988817096,0.11725219054834213,96.06344430437966,7.648016964215738,0.108089317969427
813,1201_BNG_breastTumor,MAPMX-GP,21575,2173.499861535,2173.931535720825,0.0,0.0,185,93.91893628702269,7.566196783861227,0.12275330582153043,95.93506110701193,7.681426217652928,0.10997925200982961
814,1201_BNG_breastTumor,MAPMX-GP,22118,1488.0656353860002,1488.211228609085,0.0,0.0,167,94.87111574190303,7.6447159225706445,0.1309745557224361,92.16643094266865,7.520027459287972,0.1245182388867242
815,1201_BNG_breastTumor,MAPMX-GP,23654,1721.6953566290001,1725.2888255119324,0.0,0.0,127,95.72164364991558,7.613044647724883,0.10718630348524127,94.67943652214922,7.622896697220918,0.1149554171735443
816,1201_BNG_breastTumor,MAPMX-GP,29802,1617.864221786,1620.608777999878,0.0,0.0,147,94.18544986118945,7.525712695629739,0.12157527834467807,94.40662517422933,7.586745620931837,0.11172588770705882
817,1201_BNG_breastTumor,MAPMX-GP,5390,2006.933871193,2010.6741588115692,0.0,0.0,164,93.29436867950841,7.574576823663787,0.12979253377553535,94.85643876116693,7.590933481614785,0.11650898210414251
818,1201_BNG_breastTumor,MAPMX-GP,6265,2190.411811326,2190.6046204566956,0.0,0.0,153,95.02442931925759,7.645287373865276,0.1248533449380208,95.11387835627394,7.656326751509988,0.11792340159769044
819,1201_BNG_breastTumor,MAPMX-GP,860,2011.988905828,2012.0249464511871,0.0,0.0,193,94.72112633178219,7.617325884763649,0.12658474016193122,94.26837673629028,7.62360878819897,0.11929836110795278
890,1203_BNG_pwLinear,MAPMX-GP,11284,1895.124449787,1895.3563878536224,0.0,0.0,237,7.656601125140178,2.028954806372062,0.6185217265988929,7.898181627540556,2.044395761518344,0.6048031075966667
891,1203_BNG_pwLinear,MAPMX-GP,11964,2760.13362407,2760.4273822307587,0.0,0.0,277,7.720853482557294,2.0169512920697232,0.6141034965517955,7.945342323466707,2.0462903864678292,0.6043632583695419
892,1203_BNG_pwLinear,MAPMX-GP,15795,3172.7014331640003,3172.7955424785614,0.0,0.0,311,7.701583030506028,2.016922566516009,0.6185607056386382,7.871420011223696,2.046938233822027,0.6051540436047094
893,1203_BNG_pwLinear,MAPMX-GP,21575,2766.2974778619996,2778.967029094696,0.0,0.0,323,7.830974613252633,2.0329191788572376,0.6005285883891731,7.939662815016379,2.0528419603295474,0.6069321252347557
894,1203_BNG_pwLinear,MAPMX-GP,22118,2596.495936101,2596.562961578369,0.0,0.0,219,7.8294268667260924,2.052490099677884,0.6084161005342499,7.93182629355444,2.055036900511462,0.6024467571198515
895,1203_BNG_pwLinear,MAPMX-GP,23654,2932.2351875020004,2932.3782839775085,0.0,0.0,220,7.742630797654364,2.0357012862909434,0.616637031348984,7.8284159329119865,2.0380017036287863,0.6093901265229011
896,1203_BNG_pwLinear,MAPMX-GP,29802,2182.428284542,2182.7877926826477,0.0,0.0,248,7.825347202268936,2.039516630597176,0.6103278239196389,7.780754372979342,2.036865657475979,0.6074282633880741
897,1203_BNG_pwLinear,MAPMX-GP,5390,3187.1023280100003,3187.2694404125214,0.0,0.0,192,8.008765482299527,2.0505205232174974,0.6084636817647475,7.88862986671224,2.0358556664148,0.6030392905516202
898,1203_BNG_pwLinear,MAPMX-GP,6265,2587.972394629,2588.065434217453,0.0,0.0,229,7.767976034435875,2.0307356691551175,0.6164596933819744,7.810523997351623,2.0361825247768435,0.6106200069805068
899,1203_BNG_pwLinear,MAPMX-GP,860,2929.267901085,2929.432021856308,0.0,0.0,227,7.770551854663185,2.0203189799921737,0.6198194309873992,7.912466875538188,2.034351961544345,0.6041759894775245
970,1595_poker,MAPMX-GP,11284,2991.961079974,2994.0995540618896,0.0,0.0,212,0.2146072375283824,0.28086708008195527,0.643089574014527,0.2063252788887704,0.2769656018365712,0.6579877877114324
971,1595_poker,MAPMX-GP,11964,2969.629222654,2971.5370202064514,0.0,0.0,276,0.18210734088943606,0.24581985352313826,0.7032827823349934,0.1803709425094782,0.24411856484672192,0.700218492077413
972,1595_poker,MAPMX-GP,15795,3019.9062149859997,3026.2525238990784,0.0,0.0,284,0.16696429685048922,0.2581696023058857,0.7061710846096225,0.18975591366427638,0.2635611517910072,0.6814045952680845
973,1595_poker,MAPMX-GP,21575,2867.121634147,2869.3646512031555,0.0,0.0,194,0.26526532972358147,0.344699437904815,0.5710672936172609,0.25977535750044706,0.3408950423458697,0.5675631880514098
974,1595_poker,MAPMX-GP,22118,2532.249896113,2534.2594845294952,0.0,0.0,202,0.2203197630290596,0.30652950077247554,0.636163120922751,0.22017154347882342,0.3049494315776747,0.6267923093241976
975,1595_poker,MAPMX-GP,23654,3326.322732188,3330.5242688655853,0.0,0.0,206,0.24012081321807663,0.31503200866630104,0.5998944299100185,0.22728169191732553,0.3109277038281567,0.6198146045404802
976,1595_poker,MAPMX-GP,29802,3200.596244987,3205.2878177165985,0.0,0.0,213,0.21726736761603901,0.26983396984669794,0.6362684849299136,0.1981455165762364,0.27165599427828474,0.6691029472751178
977,1595_poker,MAPMX-GP,5390,3143.356062502,3145.939957380295,0.0,0.0,210,0.24966132542352334,0.3219303825009619,0.5909200505549687,0.2425769862771243,0.3202234594973728,0.5942335538588452
978,1595_poker,MAPMX-GP,6265,3018.349110375,3026.562111854553,0.0,0.0,235,0.19245936391217838,0.24886948230772268,0.6779723887396809,0.1821888131134757,0.24897956126738952,0.6970648878663885
979,1595_poker,MAPMX-GP,860,3303.024446132,3314.863468647003,0.0,0.0,200,0.15870026559646627,0.20746347087223999,0.7323244073036989,0.1601066722102138,0.20917620163315384,0.7327953913698089
1050,192_vineyard,MAPMX-GP,11284,199.683145772,199.68806910514832,0.0,0.0,215,1.6629213327813885,0.9505781002624747,0.9130644343452089,9.695960770869698,2.8088729355487705,0.4697031164152171
1051,192_vineyard,MAPMX-GP,11964,195.100429958,195.9561583995819,0.0,0.0,471,1.1218591314239192,0.7789310690262032,0.9361360952562539,8.464106466660265,2.3875472043233974,0.6080465836784259
1052,192_vineyard,MAPMX-GP,15795,198.65161261999998,199.05416178703308,0.0,0.0,212,2.0084712636905366,1.1313142259213589,0.9088502225250393,82.06758610097091,4.961124669651259,-8.017829682096282
1053,192_vineyard,MAPMX-GP,21575,195.316555169,196.46489143371582,0.0,0.0,383,1.2096475613042854,0.8815656710650063,0.9403654828378958,11.402324658759634,2.9403064346552585,0.21234708059252883
1054,192_vineyard,MAPMX-GP,22118,194.77977210900002,194.784827709198,0.0,0.0,263,0.9778541308618648,0.7188164344096318,0.9237645181557244,9.423782663164882,2.595518407306724,0.7334305347602537
1055,192_vineyard,MAPMX-GP,23654,193.35599143000002,194.8720235824585,0.0,0.0,335,1.0693126534260458,0.6996296639139064,0.9374836813552807,11.141583455134281,2.782616665098114,0.5432004842509235
